time,group,order,char,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49
5,组17,排05,达,2.504911,-1.2884518,-0.9822666,0.051246144,1.6305144,-0.41870058,-0.14069211,-0.37533352,0.84178907,0.3028653,0.84207934,0.03369276,-0.6070378,0.22049712,0.28989723,0.19331464,-0.38533878,0.25263464,-0.64066654,-0.8574534,0.12218581,-0.066369355,0.2599236,0.498165,0.81290233,-0.5572919,-0.4190141,-0.30627483,0.3609716,0.38703442,0.24888653,-0.11418953,-0.13744894,0.6395675,-0.28842765,0.24856672,0.16445759,-0.2102867,0.6588372,0.5644465,0.05501374,0.10618465,-0.30547833,0.3191623,-0.35458097,-0.57987046,-0.0025687248,-0.33197138,-0.30797082,0.26355633
6,组17,排06,也,3.1818206,-1.1704878,-0.9983404,0.3891672,0.6729535,0.70541984,-0.104579054,0.8383396,0.99678916,0.6388604,0.78068364,-0.1586831,-0.64706343,0.31246313,0.44215384,-0.102669336,-0.04772554,0.13568129,-0.8823512,-0.6113923,0.23463957,-0.1193323,0.39829022,0.16458988,0.5961252,-0.28010103,-0.307744,-0.14896487,-0.10557605,0.15863438,0.36395514,-0.31762448,-0.38642484,0.4589688,0.23983084,0.0659704,0.327897,-0.5050525,0.2937558,0.2632473,0.1339285,0.29425552,0.14947358,-0.0204464,0.032631934,-0.5506123,0.18039206,0.17189175,0.30853668,-0.13622673
6,组17,排06,达,3.1818206,-1.1704875,-0.9983403,0.3891672,0.67295355,0.70541984,-0.10457899,0.8383396,0.9967893,0.6388605,0.78068376,-0.15868314,-0.64706326,0.3124631,0.44215387,-0.10266932,-0.047725573,0.13568136,-0.8823513,-0.61139244,0.23463951,-0.1193324,0.39829034,0.16458978,0.5961253,-0.28010103,-0.30774385,-0.14896485,-0.10557607,0.15863426,0.3639549,-0.31762463,-0.38642478,0.45896858,0.23983099,0.065970615,0.32789704,-0.50505227,0.2937558,0.26324728,0.13392855,0.29425558,0.14947368,-0.02044635,0.03263194,-0.5506123,0.18039201,0.17189169,0.30853665,-0.13622677
6,组17,排06,指,3.1818206,-1.1704875,-0.9983403,0.3891672,0.67295355,0.70541984,-0.10457899,0.8383396,0.9967893,0.6388605,0.78068376,-0.15868314,-0.64706326,0.3124631,0.44215387,-0.10266932,-0.047725573,0.13568136,-0.8823513,-0.61139244,0.23463951,-0.1193324,0.39829034,0.16458978,0.5961253,-0.28010103,-0.30774385,-0.14896485,-0.10557607,0.15863426,0.3639549,-0.31762463,-0.38642478,0.45896858,0.23983099,0.065970615,0.32789704,-0.50505227,0.2937558,0.26324728,0.13392855,0.29425558,0.14947368,-0.02044635,0.03263194,-0.5506123,0.18039201,0.17189169,0.30853665,-0.13622677
1,组18,排01,收,1.8958539,0.936308,-0.10282143,-2.1700664,0.41695118,-0.33636132,-0.10968354,-0.3252319,0.35663182,-0.65696186,0.39154568,-0.78198886,0.06031473,-0.3344686,0.0962928,0.38036263,-0.35072097,-0.106426306,-0.43767527,0.18958156,-0.24358563,0.582329,-0.2075227,0.020728206,-0.21925542,0.15694894,-0.1804897,0.095923126,-0.0155873075,0.23882115,0.2962322,-0.7341627,-0.6656906,-0.07499578,0.2016037,0.5963298,0.21940732,-0.105593756,-0.14606452,-0.13888,0.16188347,-0.52726686,0.40679634,0.66370565,0.5293195,0.20412757,0.4856786,0.32515538,-0.5117648,0.010515819
1,组18,排01,深,1.8958539,0.936308,-0.10282143,-2.1700664,0.41695118,-0.33636132,-0.10968354,-0.3252319,0.35663182,-0.65696186,0.39154568,-0.78198886,0.06031473,-0.3344686,0.0962928,0.38036263,-0.35072097,-0.106426306,-0.43767527,0.18958156,-0.24358563,0.582329,-0.2075227,0.020728206,-0.21925542,0.15694894,-0.1804897,0.095923126,-0.0155873075,0.23882115,0.2962322,-0.7341627,-0.6656906,-0.07499578,0.2016037,0.5963298,0.21940732,-0.105593756,-0.14606452,-0.13888,0.16188347,-0.52726686,0.40679634,0.66370565,0.5293195,0.20412757,0.4856786,0.32515538,-0.5117648,0.010515819
1,组18,排01,她,1.8958539,0.936308,-0.10282143,-2.1700664,0.41695118,-0.33636132,-0.10968354,-0.3252319,0.35663182,-0.65696186,0.39154568,-0.78198886,0.06031473,-0.3344686,0.0962928,0.38036263,-0.35072097,-0.106426306,-0.43767527,0.18958156,-0.24358563,0.582329,-0.2075227,0.020728206,-0.21925542,0.15694894,-0.1804897,0.095923126,-0.0155873075,0.23882115,0.2962322,-0.7341627,-0.6656906,-0.07499578,0.2016037,0.5963298,0.21940732,-0.105593756,-0.14606452,-0.13888,0.16188347,-0.52726686,0.40679634,0.66370565,0.5293195,0.20412757,0.4856786,0.32515538,-0.5117648,0.010515819
2,组18,排02,收,-2.769479,-2.5755143,1.1362764,-1.8755256,-0.68894583,-1.1314579,1.2759109,1.2353351,1.6003194,-0.010468855,1.4852035,-1.3549796,-0.28826666,0.9449369,-0.8467661,0.08427191,-1.3285449,0.26853824,1.3133905,0.027936183,0.5670497,0.7900685,-0.19924365,0.96116304,-0.9758794,0.5825442,0.37113288,0.9650413,0.013700091,0.7466879,-0.6077423,0.23772977,-0.24991181,-0.12671667,0.31821963,-0.34456408,-0.10685569,-0.436727,0.31346118,-0.08846713,-0.3548052,-0.08846859,0.17956685,0.12440754,-0.019728325,-0.23613733,-0.1543732,0.044329472,-0.112264976,-0.2529058
2,组18,排02,她,-2.769479,-2.5755143,1.1362764,-1.8755256,-0.68894583,-1.1314579,1.2759109,1.2353351,1.6003194,-0.010468855,1.4852035,-1.3549796,-0.28826666,0.9449369,-0.8467661,0.08427191,-1.3285449,0.26853824,1.3133905,0.027936183,0.5670497,0.7900685,-0.19924365,0.96116304,-0.9758794,0.5825442,0.37113288,0.9650413,0.013700091,0.7466879,-0.6077423,0.23772977,-0.24991181,-0.12671667,0.31821963,-0.34456408,-0.10685569,-0.436727,0.31346118,-0.08846713,-0.3548052,-0.08846859,0.17956685,0.12440754,-0.019728325,-0.23613733,-0.1543732,0.044329472,-0.112264976,-0.2529058
2,组18,排02,深,-2.769479,-2.5755143,1.1362764,-1.8755256,-0.68894583,-1.1314579,1.2759109,1.2353351,1.6003194,-0.010468855,1.4852035,-1.3549796,-0.28826666,0.9449369,-0.8467661,0.08427191,-1.3285449,0.26853824,1.3133905,0.027936183,0.5670497,0.7900685,-0.19924365,0.96116304,-0.9758794,0.5825442,0.37113288,0.9650413,0.013700091,0.7466879,-0.6077423,0.23772977,-0.24991181,-0.12671667,0.31821963,-0.34456408,-0.10685569,-0.436727,0.31346118,-0.08846713,-0.3548052,-0.08846859,0.17956685,0.12440754,-0.019728325,-0.23613733,-0.1543732,0.044329472,-0.112264976,-0.2529058
3,组18,排03,深,-0.072284326,-0.7449681,0.95124114,-0.67611283,0.39482853,-1.5643668,-1.6185237,-0.24370463,0.6751059,-0.6287801,0.61141247,0.05554111,1.0933634,-0.44966525,-1.2468872,0.15950772,0.2849577,-0.04271203,0.7995343,0.3265021,-1.0452836,-0.26399446,-0.0067215897,-0.19293204,0.63847953,-0.010409053,-0.30810216,0.08584643,-0.42063066,0.11798073,-0.25645247,-0.55299723,0.96090716,-0.3996928,-0.7126721,0.838562,1.2677981,-0.0009946575,-0.33351848,-0.15184866,0.097048976,-0.042539977,-0.3400404,0.08097509,0.01076291,0.45289847,-0.1725563,0.08606175,0.3042048,0.12252047
3,组18,排03,收,-0.072284326,-0.7449681,0.95124114,-0.67611283,0.39482853,-1.5643668,-1.6185237,-0.24370463,0.6751059,-0.6287801,0.61141247,0.05554111,1.0933634,-0.44966525,-1.2468872,0.15950772,0.2849577,-0.04271203,0.7995343,0.3265021,-1.0452836,-0.26399446,-0.0067215897,-0.19293204,0.63847953,-0.010409053,-0.30810216,0.08584643,-0.42063066,0.11798073,-0.25645247,-0.55299723,0.96090716,-0.3996928,-0.7126721,0.838562,1.2677981,-0.0009946575,-0.33351848,-0.15184866,0.097048976,-0.042539977,-0.3400404,0.08097509,0.01076291,0.45289847,-0.1725563,0.08606175,0.3042048,0.12252047
3,组18,排03,她,-0.07228434,-0.7449681,0.95124084,-0.6761129,0.3948287,-1.5643668,-1.6185241,-0.24370451,0.6751058,-0.6287801,0.6114127,0.0555411,1.0933635,-0.4496652,-1.2468872,0.15950778,0.28495768,-0.042711947,0.79953444,0.3265021,-1.0452838,-0.26399446,-0.0067216093,-0.19293201,0.6384796,-0.010409027,-0.30810225,0.08584643,-0.42063066,0.11798065,-0.2564525,-0.5529974,0.96090716,-0.39969274,-0.7126721,0.83856195,1.2677977,-0.000994712,-0.33351856,-0.15184863,0.09704901,-0.042540032,-0.3400404,0.08097512,0.01076294,0.45289847,-0.17255628,0.08606174,0.3042048,0.12252047
4,组18,排04,深,-2.6029181,-3.2871773,0.88101256,-1.1861832,-0.675068,-0.7424566,0.846529,1.5448084,1.6427435,-0.47114176,1.5623773,-1.116725,0.22536716,0.82242024,-0.8809127,0.078827195,-1.5929626,0.15702924,1.6726997,-0.17171696,0.3869941,1.0360003,-0.05363532,1.0939282,-0.38866055,0.37400174,0.009859774,1.0151371,-0.13085417,0.45633155,-0.3638592,-0.1002424,-0.05176158,-0.1556241,-0.023730457,-0.31612134,0.4177133,-0.15006994,0.3260905,-0.20874417,-0.352719,-0.039043438,-0.45166248,0.007209086,-0.2815342,-0.1111449,-0.15588662,-0.024853256,0.17685694,-0.084250174
4,组18,排04,她,-2.6029181,-3.2871773,0.88101256,-1.1861832,-0.675068,-0.7424566,0.846529,1.5448084,1.6427435,-0.47114176,1.5623773,-1.116725,0.22536716,0.82242024,-0.8809127,0.078827195,-1.5929626,0.15702924,1.6726997,-0.17171696,0.3869941,1.0360003,-0.05363532,1.0939282,-0.38866055,0.37400174,0.009859774,1.0151371,-0.13085417,0.45633155,-0.3638592,-0.1002424,-0.05176158,-0.1556241,-0.023730457,-0.31612134,0.4177133,-0.15006994,0.3260905,-0.20874417,-0.352719,-0.039043438,-0.45166248,0.007209086,-0.2815342,-0.1111449,-0.15588662,-0.024853256,0.17685694,-0.084250174
4,组18,排04,收,-2.6029181,-3.2871773,0.88101256,-1.1861832,-0.675068,-0.7424566,0.846529,1.5448084,1.6427435,-0.47114176,1.5623773,-1.116725,0.22536716,0.82242024,-0.8809127,0.078827195,-1.5929626,0.15702924,1.6726997,-0.17171696,0.3869941,1.0360003,-0.05363532,1.0939282,-0.38866055,0.37400174,0.009859774,1.0151371,-0.13085417,0.45633155,-0.3638592,-0.1002424,-0.05176158,-0.1556241,-0.023730457,-0.31612134,0.4177133,-0.15006994,0.3260905,-0.20874417,-0.352719,-0.039043438,-0.45166248,0.007209086,-0.2815342,-0.1111449,-0.15588662,-0.024853256,0.17685694,-0.084250174
5,组18,排05,她,0.15869208,-0.049506098,0.7125249,-1.4949563,0.35639438,-1.7229478,-1.2097093,-0.51341456,0.8747502,-0.06046432,0.49435523,0.19204539,0.42965072,-0.48277894,-0.8412514,0.14951229,0.6644011,-0.11278854,0.5822398,0.51350725,-0.94625396,-0.4907664,0.061689887,-0.343572,0.45515463,-0.116442725,-0.14037216,-0.16943821,-0.39451566,0.4709677,-0.31578365,-0.41798308,0.5198515,-0.75363624,-0.37709436,0.7025024,0.67180854,-0.33679986,-0.36444262,-0.15355025,0.23420122,-0.1756377,-0.024112003,0.031482287,0.031599414,0.21212813,-0.24957475,0.28028083,0.058722142,-0.102490045
5,组18,排05,收,0.15869208,-0.049506098,0.7125249,-1.4949563,0.35639438,-1.7229478,-1.2097093,-0.51341456,0.8747502,-0.06046432,0.49435523,0.19204539,0.42965072,-0.48277894,-0.8412514,0.14951229,0.6644011,-0.11278854,0.5822398,0.51350725,-0.94625396,-0.4907664,0.061689887,-0.343572,0.45515463,-0.116442725,-0.14037216,-0.16943821,-0.39451566,0.4709677,-0.31578365,-0.41798308,0.5198515,-0.75363624,-0.37709436,0.7025024,0.67180854,-0.33679986,-0.36444262,-0.15355025,0.23420122,-0.1756377,-0.024112003,0.031482287,0.031599414,0.21212813,-0.24957475,0.28028083,0.058722142,-0.102490045
5,组18,排05,深,0.15869208,-0.049506098,0.7125249,-1.4949563,0.35639438,-1.7229478,-1.2097093,-0.51341456,0.8747502,-0.06046432,0.49435523,0.19204539,0.42965072,-0.48277894,-0.8412514,0.14951229,0.6644011,-0.11278854,0.5822398,0.51350725,-0.94625396,-0.4907664,0.061689887,-0.343572,0.45515463,-0.116442725,-0.14037216,-0.16943821,-0.39451566,0.4709677,-0.31578365,-0.41798308,0.5198515,-0.75363624,-0.37709436,0.7025024,0.67180854,-0.33679986,-0.36444262,-0.15355025,0.23420122,-0.1756377,-0.024112003,0.031482287,0.031599414,0.21212813,-0.24957475,0.28028083,0.058722142,-0.102490045
6,组18,排06,她,1.9633876,0.79171085,-0.2653726,-2.176372,0.4493864,-0.55725753,0.1472244,-0.30444697,0.8105769,-0.57746035,0.14508414,-0.41499007,0.0047910544,-0.35818306,0.24284226,0.51204485,-0.29423997,-0.07783095,-0.3704755,0.15176359,-0.18150672,0.5239356,0.09668735,-0.16528104,0.20892735,0.030334594,-0.39550346,0.08831005,-0.16042268,0.2677133,0.20911466,-0.73475826,-0.6652826,-0.17250462,0.20747994,0.3956394,0.27114472,-0.035537526,-0.006684355,-0.08826461,0.19960389,-0.63725495,0.19912894,0.50354445,0.36996004,0.15146112,0.40150943,0.47306335,-0.40582734,0.0879014
