time,group,order,char,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49
6,组18,排06,深,1.9633883,0.79171085,-0.26537266,-2.1763716,0.44938627,-0.55725753,0.14722474,-0.30444694,0.810577,-0.5774605,0.14508398,-0.4149902,0.004790955,-0.358183,0.24284218,0.5120448,-0.29424012,-0.07783095,-0.37047553,0.1517636,-0.18150675,0.5239356,0.09668735,-0.16528113,0.20892736,0.030334571,-0.39550337,0.088309936,-0.1604227,0.26771334,0.20911463,-0.7347583,-0.66528267,-0.17250484,0.20747991,0.39563942,0.27114463,-0.035537597,-0.006684284,-0.0882647,0.19960377,-0.6372549,0.19912905,0.50354433,0.3699602,0.15146099,0.40150934,0.47306323,-0.40582737,0.08790125
6,组18,排06,收,1.9633883,0.79171085,-0.26537266,-2.1763716,0.44938627,-0.55725753,0.14722474,-0.30444694,0.810577,-0.5774605,0.14508398,-0.4149902,0.004790955,-0.358183,0.24284218,0.5120448,-0.29424012,-0.07783095,-0.37047553,0.1517636,-0.18150675,0.5239356,0.09668735,-0.16528113,0.20892736,0.030334571,-0.39550337,0.088309936,-0.1604227,0.26771334,0.20911463,-0.7347583,-0.66528267,-0.17250484,0.20747991,0.39563942,0.27114463,-0.035537597,-0.006684284,-0.0882647,0.19960377,-0.6372549,0.19912905,0.50354433,0.3699602,0.15146099,0.40150934,0.47306323,-0.40582737,0.08790125
1,组19,排01,力,1.879258,0.8732548,2.7990048,-0.7336666,0.3279203,-2.4001224,0.386023,-0.5551571,-0.56832993,-0.21497265,-1.0510936,-0.41264692,-0.6498806,-0.88985336,1.000646,-0.71128976,-0.009042905,0.8046893,-0.54254204,0.20591022,0.7754887,-0.23010257,0.03809215,0.4220019,-0.26232046,0.022165122,0.059296574,0.32888606,-0.17263731,0.12182901,0.14008981,-0.27377293,0.29822332,-0.11440681,-0.28837746,-0.19498469,-0.648801,-0.8512488,-0.27141973,0.27053693,0.20195392,-0.48948202,-0.1918443,-0.7275988,-0.11297575,0.148887,-0.25333074,-0.14369795,0.13973433,-0.83907884
1,组19,排01,英,1.879258,0.8732548,2.7990048,-0.7336666,0.3279203,-2.4001224,0.386023,-0.5551571,-0.56832993,-0.21497265,-1.0510936,-0.41264692,-0.6498806,-0.88985336,1.000646,-0.71128976,-0.009042905,0.8046893,-0.54254204,0.20591022,0.7754887,-0.23010257,0.03809215,0.4220019,-0.26232046,0.022165122,0.059296574,0.32888606,-0.17263731,0.12182901,0.14008981,-0.27377293,0.29822332,-0.11440681,-0.28837746,-0.19498469,-0.648801,-0.8512488,-0.27141973,0.27053693,0.20195392,-0.48948202,-0.1918443,-0.7275988,-0.11297575,0.148887,-0.25333074,-0.14369795,0.13973433,-0.83907884
1,组19,排01,斯,1.879258,0.8732548,2.7990048,-0.7336666,0.3279203,-2.4001224,0.386023,-0.5551571,-0.56832993,-0.21497265,-1.0510936,-0.41264692,-0.6498806,-0.88985336,1.000646,-0.71128976,-0.009042905,0.8046893,-0.54254204,0.20591022,0.7754887,-0.23010257,0.03809215,0.4220019,-0.26232046,0.022165122,0.059296574,0.32888606,-0.17263731,0.12182901,0.14008981,-0.27377293,0.29822332,-0.11440681,-0.28837746,-0.19498469,-0.648801,-0.8512488,-0.27141973,0.27053693,0.20195392,-0.48948202,-0.1918443,-0.7275988,-0.11297575,0.148887,-0.25333074,-0.14369795,0.13973433,-0.83907884
2,组19,排02,力,1.0033203,0.563856,2.7558634,-0.30481508,0.37072757,-2.3226647,0.31845242,-0.2558547,-0.0055490877,-1.2234412,-0.8781457,-0.07161144,-0.27652344,-0.8187047,1.2371526,0.35260132,-0.08575088,0.22085428,-0.3753103,0.27352995,0.5337001,-0.2896283,0.23281129,0.6879217,0.011924549,-0.03949458,-0.3820076,0.36630368,0.32048815,0.13243753,0.20987794,0.4873817,-0.091387056,-0.20770858,0.23402984,0.18113537,0.1904484,0.25871906,-0.5196103,0.19608232,0.07273028,0.35353446,0.27901554,0.57088065,0.03679872,-0.076121375,-0.6569059,-0.090744406,0.3202249,0.120658614
2,组19,排02,斯,1.0033203,0.563856,2.7558634,-0.30481508,0.37072757,-2.3226647,0.31845242,-0.2558547,-0.0055490877,-1.2234412,-0.8781457,-0.07161144,-0.27652344,-0.8187047,1.2371526,0.35260132,-0.08575088,0.22085428,-0.3753103,0.27352995,0.5337001,-0.2896283,0.23281129,0.6879217,0.011924549,-0.03949458,-0.3820076,0.36630368,0.32048815,0.13243753,0.20987794,0.4873817,-0.091387056,-0.20770858,0.23402984,0.18113537,0.1904484,0.25871906,-0.5196103,0.19608232,0.07273028,0.35353446,0.27901554,0.57088065,0.03679872,-0.076121375,-0.6569059,-0.090744406,0.3202249,0.120658614
2,组19,排02,英,1.0033203,0.563856,2.7558634,-0.30481508,0.37072757,-2.3226647,0.31845242,-0.2558547,-0.0055490877,-1.2234412,-0.8781457,-0.07161144,-0.27652344,-0.8187047,1.2371526,0.35260132,-0.08575088,0.22085428,-0.3753103,0.27352995,0.5337001,-0.2896283,0.23281129,0.6879217,0.011924549,-0.03949458,-0.3820076,0.36630368,0.32048815,0.13243753,0.20987794,0.4873817,-0.091387056,-0.20770858,0.23402984,0.18113537,0.1904484,0.25871906,-0.5196103,0.19608232,0.07273028,0.35353446,0.27901554,0.57088065,0.03679872,-0.076121375,-0.6569059,-0.090744406,0.3202249,0.120658614
3,组19,排03,英,1.2520825,1.8332579,2.8032224,-0.18194792,1.0429951,-2.3446546,0.41078293,0.47619712,-1.0708516,-1.3394432,-0.43474963,0.20294139,0.0017171035,0.16972916,1.2016509,0.39587086,0.03159152,0.48601288,0.20673561,0.72800714,0.7054307,-0.85008085,-0.1439454,0.2450687,-0.13434678,0.18330604,0.40583473,-0.34831497,0.4392674,0.4903464,-0.3595475,0.36043587,0.21626212,-0.34846294,-0.028555017,0.07848784,-0.038631406,-0.18701036,0.2264571,-0.56702524,-0.26701015,0.17863621,0.44591704,-0.24828005,0.05877326,-0.23539396,0.46046454,0.15405352,-0.1608933,0.4444671
3,组19,排03,力,1.2520825,1.8332579,2.8032224,-0.18194792,1.0429951,-2.3446546,0.41078293,0.47619712,-1.0708516,-1.3394432,-0.43474963,0.20294139,0.0017171035,0.16972916,1.2016509,0.39587086,0.03159152,0.48601288,0.20673561,0.72800714,0.7054307,-0.85008085,-0.1439454,0.2450687,-0.13434678,0.18330604,0.40583473,-0.34831497,0.4392674,0.4903464,-0.3595475,0.36043587,0.21626212,-0.34846294,-0.028555017,0.07848784,-0.038631406,-0.18701036,0.2264571,-0.56702524,-0.26701015,0.17863621,0.44591704,-0.24828005,0.05877326,-0.23539396,0.46046454,0.15405352,-0.1608933,0.4444671
3,组19,排03,斯,1.2520825,1.8332579,2.8032224,-0.18194792,1.0429951,-2.3446546,0.41078293,0.47619712,-1.0708516,-1.3394432,-0.43474963,0.20294139,0.0017171035,0.16972916,1.2016509,0.39587086,0.03159152,0.48601288,0.20673561,0.72800714,0.7054307,-0.85008085,-0.1439454,0.2450687,-0.13434678,0.18330604,0.40583473,-0.34831497,0.4392674,0.4903464,-0.3595475,0.36043587,0.21626212,-0.34846294,-0.028555017,0.07848784,-0.038631406,-0.18701036,0.2264571,-0.56702524,-0.26701015,0.17863621,0.44591704,-0.24828005,0.05877326,-0.23539396,0.46046454,0.15405352,-0.1608933,0.4444671
4,组19,排04,英,0.971892,0.56781656,2.6248176,-0.20557442,0.30358696,-2.1866148,0.27403456,-0.29291663,-0.40204254,-1.3328058,-0.90364146,-0.30513978,-0.038040604,-0.7857436,0.9455886,0.31807145,-0.082957156,0.14138453,-0.2683082,0.2243912,0.414139,-0.22963138,0.017747672,0.7668231,-0.5040274,0.18883061,-0.2637816,0.30449644,0.35537815,-0.05998451,0.19728222,0.42654628,-0.05160889,-0.16412015,0.16355573,0.34078994,0.14956643,0.24958439,-0.48643836,0.07729262,0.15759456,0.2858058,0.46151733,0.66602623,0.097050816,-0.021966904,-0.66801775,-0.14868225,0.11584315,0.14256148
4,组19,排04,斯,0.971892,0.56781656,2.6248176,-0.20557442,0.30358696,-2.1866148,0.27403456,-0.29291663,-0.40204254,-1.3328058,-0.90364146,-0.30513978,-0.038040604,-0.7857436,0.9455886,0.31807145,-0.082957156,0.14138453,-0.2683082,0.2243912,0.414139,-0.22963138,0.017747672,0.7668231,-0.5040274,0.18883061,-0.2637816,0.30449644,0.35537815,-0.05998451,0.19728222,0.42654628,-0.05160889,-0.16412015,0.16355573,0.34078994,0.14956643,0.24958439,-0.48643836,0.07729262,0.15759456,0.2858058,0.46151733,0.66602623,0.097050816,-0.021966904,-0.66801775,-0.14868225,0.11584315,0.14256148
4,组19,排04,力,0.971892,0.56781656,2.6248176,-0.20557442,0.30358696,-2.1866148,0.27403456,-0.29291663,-0.40204254,-1.3328058,-0.90364146,-0.30513978,-0.038040604,-0.7857436,0.9455886,0.31807145,-0.082957156,0.14138453,-0.2683082,0.2243912,0.414139,-0.22963138,0.017747672,0.7668231,-0.5040274,0.18883061,-0.2637816,0.30449644,0.35537815,-0.05998451,0.19728222,0.42654628,-0.05160889,-0.16412015,0.16355573,0.34078994,0.14956643,0.24958439,-0.48643836,0.07729262,0.15759456,0.2858058,0.46151733,0.66602623,0.097050816,-0.021966904,-0.66801775,-0.14868225,0.11584315,0.14256148
5,组19,排05,斯,1.2994198,1.3155961,2.7499368,1.4814595,1.6386377,-1.1118364,0.5877485,0.85365206,-0.824077,-1.7901196,-0.11115211,0.73692214,0.18046962,0.31944498,1.3394805,0.79954463,-0.4126622,0.6178126,-0.32176426,-0.038076844,0.70560366,-0.4942837,0.0038843155,0.5097362,0.57658577,0.1609387,-0.023689745,-0.33576295,0.25363994,0.7721706,-0.36524808,0.039443243,0.09047034,-0.07802726,0.20346245,0.031588927,0.5505664,0.33448717,0.30150834,-0.52263,-0.77800095,0.33518493,-0.46169665,-0.026527165,-0.100317165,-0.19345883,0.7011765,0.27448756,-0.18952024,0.73426175
